"","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","grade","gender","full_time_equivalent","headcount"
"96",202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","Classroom teacher","Total",41319.33009,44832.74859
"97",202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","Total","Male",12284.42779,12644.78424
"98",202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","Total","Female",35928.49747,39309.3152
"99",202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","Total","Gender Unclassified",10.55,12
"100",202021,"Academic year","National","E92000001","England","","","Total","Total",461104.3426,508095.9343
"101",202021,"Academic year","National","E92000001","England","","","Head teacher","Total",22090.86992,22362.73002
"102",202021,"Academic year","National","E92000001","England","","","Deputy head teacher","Total",18227.35772,18745.30024
"103",202021,"Academic year","National","E92000001","England","","","Assistant head teacher","Total",29904.87111,31169.46786
"104",202021,"Academic year","National","E92000001","England","","","Classroom teacher","Total",390881.2438,435818.4362
"105",202021,"Academic year","National","E92000001","England","","","Total","Male",119077.7534,123034.2697
"106",202021,"Academic year","National","E92000001","England","","","Head teacher","Male",7207.62804,7252.01019
"107",202021,"Academic year","National","E92000001","England","","","Deputy head teacher","Male",5346.331015,5380.833431
"108",202021,"Academic year","National","E92000001","England","","","Assistant head teacher","Male",9433.298293,9546.855212
"109",202021,"Academic year","National","E92000001","England","","","Classroom teacher","Male",97090.49608,100854.5709
"110",202021,"Academic year","National","E92000001","England","","","Total","Female",341961.7441,384993.6064
"111",202021,"Academic year","National","E92000001","England","","","Head teacher","Female",14881.24188,15108.71983
"112",202021,"Academic year","National","E92000001","England","","","Deputy head teacher","Female",12877.02671,13360.46681
"113",202021,"Academic year","National","E92000001","England","","","Assistant head teacher","Female",20471.57282,21622.61265
"114",202021,"Academic year","National","E92000001","England","","","Classroom teacher","Female",293731.9027,334901.8072
"115",202021,"Academic year","National","E92000001","England","","","Total","Gender Unclassified",64.84509463,68.05818426
"116",202021,"Academic year","National","E92000001","England","","","Head teacher","Gender Unclassified",2,2
"117",202021,"Academic year","National","E92000001","England","","","Deputy head teacher","Gender Unclassified",4,4
"118",202021,"Academic year","National","E92000001","England","","","Classroom teacher","Gender Unclassified",58.84509463,62.05818426
"119",202021,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Total",22010.84,23740
"120",202021,"Academic year","Regional","E92000001","England","E12000001","North East","Head teacher","Total",1151.670988,1164.274559
"121",202021,"Academic year","Regional","E92000001","England","E12000001","North East","Deputy head teacher","Total",1003.692752,1027.390428
"122",202021,"Academic year","Regional","E92000001","England","E12000001","North East","Assistant head teacher","Total",1269.417738,1312.216625
"123",202021,"Academic year","Regional","E92000001","England","E12000001","North East","Classroom teacher","Total",18586.05852,20236.11839
"124",202021,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Male",5417.654076,5570.649874
"125",202021,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Female",16592.18592,18168.35013
"126",202021,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Gender Unclassified",1,1
"127",202021,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Total",61938.1706,67136.09182
"128",202021,"Academic year","Regional","E92000001","England","E12000002","North West","Head teacher","Total",3248.715626,3282.167909
"129",202021,"Academic year","Regional","E92000001","England","E12000002","North West","Deputy head teacher","Total",2732.932191,2781.798913
"130",202021,"Academic year","Regional","E92000001","England","E12000002","North West","Assistant head teacher","Total",4016.213621,4117.418685
"131",202021,"Academic year","Regional","E92000001","England","E12000002","North West","Classroom teacher","Total",51940.30916,56954.70631
"132",202021,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Male",15462.00418,15891.47045
"133",202021,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Female",46466.94468,51234.59964
"134",202021,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Gender Unclassified",9.221739131,10.02173913
"135",202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Total",44833.87734,49032.60474
"136",202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Head teacher","Total",2281.830754,2314.911041
"137",202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Deputy head teacher","Total",1627.618355,1665.000291
